id,timestamp,value,category,description,_hash
54,2026-03-11 23:17:12.119275,448.4654017095479,A,Record 53,a3fa26a00a7a0d280409e3217507834a0f82b5336870d51816f5f288793ab4bd
71,2026-03-11 06:17:12.119275,388.3999369553621,C,Record 70,57a450793ec12ab39c746975c8627e57f41a98e2472d00b0d89e547f336fee3d
46,2026-03-10 07:17:12.119275,334.6359193334512,B,Record 45,c8bf401aaa4297204a657a6805f3f49d7af20432e08c622fbaa3a9ffdeb9cf6c
45,2026-03-10 08:17:12.119275,136.8021909840083,C,Record 44,8c004d9eb01b2ef7575c371bbbf38e79df524274eb1853d5cb2400407b40625b
40,2026-03-10 13:17:12.119275,225.67472193240465,B,Record 39,06f6320124b2c9849f1dd8c723dd3eec928eddc6a790014b6d87733e786298e7
31,2026-03-10 22:17:12.119275,307.6969774317048,A,Record 30,b5c0835407d59c635424909b713a2a98e4c1e205f01d8d3841b7e70687db8d81
74,2026-03-11 03:17:12.119275,409.5760999428687,D,Record 73,33bc2259801737803cf0210eb72fec682b3f0201d0f2625377c9f300bb8d44c5
34,2026-03-10 19:17:12.119275,474.9539132541333,C,Record 33,045d3702792dfd0b37b8aba1e5a8bf99cb979849cdd5696d655049fe26327034
32,2026-03-10 21:17:12.119275,93.55682060677285,C,Record 31,0dbe56ca461a4b5f21e9b33634edec4750b88796589fc38fef45b4bc0768bd3d
56,2026-03-11 21:17:12.119275,461.7183751613272,A,Record 55,10082ec6ae97341b73e3a722ff3302f2608bbcaea1f63bddf8189f4a2bef78f3
27,2026-03-11 02:17:12.119275,107.84015325759628,C,Record 26,7cdc04b32600ee7ff694c6b0754d117e76b2c3e3e1a6b01da657d37f94779af3
43,2026-03-10 10:17:12.119275,26.85037534645701,A,Record 42,d2765021e5f677602230ddfbb93fe36955e72b1f951e76afd9be3937cc68f675
70,2026-03-11 07:17:12.119275,493.5745989342535,C,Record 69,61284a9cfd05393635499cb22b5fd5c0721700e17513086605de3cd710cd5953
41,2026-03-10 12:17:12.119275,69.79873507394163,C,Record 40,bc62a834deebf537951105be746d26d60f90845bab75bb06409ab6b9cc7ae8c8
73,2026-03-11 04:17:12.119275,12.705837390565176,B,Record 72,113f32fd24c3b768f4927fddf6d0a20e884d238a8ceeaf5608b09c1e12197bc2
48,2026-03-10 05:17:12.119275,264.8333303771273,D,Record 47,7704e5925da44c613eee07f175e92cf335fb3ba29399cbc5b86ad2a1cbd11c14
29,2026-03-11 00:17:12.119275,300.2831387424008,A,Record 28,0bc8793fb177c025310b00a138457694f4bf0e8ee50bfa24f28e72bcf6b39ce8
67,2026-03-11 10:17:12.119275,79.0528702376337,D,Record 66,2938c08dad6339745bc2be868b4a7cf9d3a16c3bb8f882c6b835ec6ce2e6ed51
66,2026-03-11 11:17:12.119275,275.92108074754174,A,Record 65,b57c9da11da2e3f479b27305180de52a9a2a424689448a77431ec60a1ea8bc43
36,2026-03-10 17:17:12.119275,406.114700577066,A,Record 35,9906d6ea7e8001647e75de616f7ece6899a7065e9b3ef9963513a665762f421d
50,2026-03-12 03:17:12.119275,100.57868320750823,C,Record 49,cf658d9bfe95b2fbadd3cc09a4b35c356ac92d2cd1aaa7e76f7fe31691750338
35,2026-03-10 18:17:12.119275,483.1596962065341,A,Record 34,448019ab071055460964ed8fd75571cdb4bb162a4ef583c2a3b00ccaf9f6320b
28,2026-03-11 01:17:12.119275,261.9748748226697,C,Record 27,ecfc022624d083958ad909d24d7346dec367205d832c8fac4375868ad78df9f9
26,2026-03-11 03:17:12.119275,394.7362210825767,B,Record 25,997630c1b87879e9e8d2f116108c93afccb7c839092bc3ce66071b4d4d89e44a
63,2026-03-11 14:17:12.119275,416.0813794844454,A,Record 62,6ecac2e12be13b4f6d9c8933f092aca77dc69514cd51248c43989c064178dcfe
39,2026-03-10 14:17:12.119275,345.2741829909569,C,Record 38,b2857bf6a48aa6bf38d45bfa968b34420ae0663e71905bda48cdadb796f48112
65,2026-03-11 12:17:12.119275,147.6579097468166,C,Record 64,322fcfb146b79a12f66391d1f70baf0be3056579ac67f5e9f194d4b5dbb7348b
37,2026-03-10 16:17:12.119275,159.26074689495164,B,Record 36,8a2699a225316d63c1a3d0ab58439ef487a52eb9dd3f96261b48964a752550d6
57,2026-03-11 20:17:12.119275,53.36132600544055,D,Record 56,21b6f94fd679a946a1b9ca3fd592d9f17b9722cbdfa9e02114e5df83b9e8e7c0
55,2026-03-11 22:17:12.119275,302.9709896174317,D,Record 54,79888ac63e29396f04f9bdfab8c060e9df53a1d7b5632aa8f0a90751c0459453
44,2026-03-10 09:17:12.119275,455.5669970186032,C,Record 43,d454a463bbf07e370c9f89aeed22c768a1b0231171de00302dea7e8882cb8cbb
51,2026-03-12 02:17:12.119275,485.0964676046337,C,Record 50,52837e25fa1ef7102ac7013036a8b03c1558a891191ba08c0de8ef8488265a0a
68,2026-03-11 09:17:12.119275,403.0765205694794,A,Record 67,b1d5fed0341aac9007e43fd4a89b34815a4af39fbd5073059965529bebac5577
47,2026-03-10 06:17:12.119275,162.73842728381138,B,Record 46,a81dc607f3a59a44ea4fe69b5fe35e610e921b543cfa4a346506463671a38d59
69,2026-03-11 08:17:12.119275,46.5298154030877,D,Record 68,11b22d8692531126e478076e0e6667b65d2f99c83f1072acf1c229424b099602
62,2026-03-11 15:17:12.119275,142.961025569209,C,Record 61,9d97580aa76639ec33130ab489b9a99768fb8793dc7585752aae56fdbe907132
42,2026-03-10 11:17:12.119275,252.6366859545224,C,Record 41,ff6cfad8b8972d7595de675c4a9d4ba4d7fa6c18c2599a1078b4c433b6dedc1d
59,2026-03-11 18:17:12.119275,32.16137156616365,B,Record 58,49b7f56d8f0a2fb249350e9f98a1beea021ae10da2070ab584ba76e79e432f33
49,2026-03-12 04:17:12.119275,277.888036878207,A,Record 48,edf03216796dafa9a7bdfd50a8b51c0696c82da28f19c5cd806c429b9c3cd455
58,2026-03-11 19:17:12.119275,106.03160258538117,D,Record 57,9461f52172d3b44897b1f711ea2e48d01ecf90158167490eb49cd77a5d56f487
33,2026-03-10 20:17:12.119275,41.87528056278696,B,Record 32,3ef802183d04fd57d86d65bddb0362c0f55a35120730d8ee4c4935a36719923f
60,2026-03-11 17:17:12.119275,169.41186207399952,A,Record 59,6a6c396ba4da8fbaa8a7a6b17f59a2c869181731368e581f04d332a11e80fe8b
64,2026-03-11 13:17:12.119275,184.8091300798588,C,Record 63,57effbfa60330b8fbe22352b16aa3b4c238b909ac543d5c3ab07ee60f58dc2db
38,2026-03-10 15:17:12.119275,57.859335863128095,C,Record 37,3832b01bd7a9674e8811c61da1c4234256c406aea48d3c049f97adfa4dddbadd
30,2026-03-10 23:17:12.119275,32.760702232798884,C,Record 29,4093f070406bc470e15dbe21c27e4200d8de5ddb0bf9457ef594d55fc1f78777
53,2026-03-12 00:17:12.119275,470.3544813664527,C,Record 52,fac4e49127ac89ed657d6e5ee95c93e9798b88d66c90a72201417d861580be59
75,2026-03-11 02:17:12.119275,356.3600984853324,B,Record 74,0e2f8238ceeb6219f79927023c24a53938aea2c3070d8e062e0edf4a0f9e6ac0
61,2026-03-11 16:17:12.119275,200.45187194784617,C,Record 60,b9569e3d3de320e9d626cd1e95a710bbdb449448164392e022cf4ae2824cb6dc
72,2026-03-11 05:17:12.119275,107.37068395174448,C,Record 71,fcaeed97bcf2ab0b87045ff6270c854d06e0c9110b62023644f1f4882415d078
52,2026-03-12 01:17:12.119275,389.8150834469461,D,Record 51,d36ae0b23df224a2cc191c55928ba65e4bace1a954eb843d1d05c186a8dafb68
